Título,Autor(a),ISBN,Género,Estado
Antología de Relatos Románticos Tormentosos,VV. AA,9788418008030,Literary,Read
El Extraño Caso de Dr. Jekyll y Mr. Hyde,Robert L. Stevenson,9789566180067,Literary,Read
Hetalia Axis Power Volumen 2,Himaruya Hidekaz,9789874068125,Comedy,Read
Hetalia Axis Power Volumen 4,Himaruya Hidekaz,9789871485680,Comedy,Read
Hetalia Axis Power Volumen 1,Himaruya Hidekaz,9789871485550,Comedy,Read
Hetalia Axis Power Volumen 3,Himaruya Hidekaz,9780201379624,Comedy,Read
El último héroe del Olimpo (Percy Jackson y los dioses del Olimpo 5),Rick Riordan,9788498386301,Fantasy,Read
La batalla del laberinto (Percy Jackson y los dioses del Olimpo 4),Rick Riordan,9789878000329,Fantasy,Read
El Ruiseñor,Kristin Hannah,9786287513327,Fantasy,Read
La maldición del Titán (Percy Jackson y los dioses del Olimpo 3),Rick Riordan,9789878000312,Fantasy,Read
Antología de Relatos de Detectives,Charles Dickens,9788417430474,Literary,Read
El Fantasma de la Opera,Gaston Leroux,9788417430610,Literary,Read
Mar de los monstruos (Percy Jackson 2),Rick Riordan,9788498386271,Fantasy,Read
Los misterios de Charlotte Holmes,Brittany Cavallaro,9788417525248,Mystery Thriller & Crime,Read
