titulo,autor,genero,editorial,precio,stock,encuadernacion
TE RECETO UN GATO,SYOU ISHIDA,FICCION GENERAL,DUOMO EDICIONES,0,0,
TEORIA KIM,INMA RUBIALES,ROMANCE,PLANETA,0,0,
TERAPIA PARA LLEVAR,ANA PEREZ,OTRO,MONTENA,0,0,
THE DEFENDER,ANA HUANG,ROMANCE,PLANETA,0,0,
THE LUCKY ONES,LIZ LAWSON,THRILLER,DELACORTE PRESS,0,0,
THE STRIKER,ANA HUANG,ROMANCE,PLANETA,0,0,
THIS IS OUR TIME,TREVIN WAX,OTRO,BH PUBLISHING GROUP,0,0,
TODOS NUESTROS RECUERDOS,MELISSA WIESNER,ROMANCE,URANO,0,0,
TRAS LA NOCHE,LINDA HOWARD,THRILLER,HARLEQUIN,0,0,
TRAS LA PUERTA,J. D. BARKER,THRILLER,DESTINO (PLANETA),0,0,
TREN BALA,KŌTARŌ ISAKA,THRILLER,PLANETA,0,0,
TRONO DE LOS CAIDOS,KERRI MANISCALCO,ROMANTASY,URANO,0,1,
TRONO DE MONSTRUOS,KERRI MANISCALCO,ROMANTASY,URANO,0,0,
EL TRONO DEL PRISIONERO,HOLLY BLACK,FANTASIA,URANO,0,0,
TU,CAROLINE KEPNES,THRILLER,PLANETA,0,0,
TU ENEMIGA SECRETA,SARAH ADAMS,ROMANCE,CHIC EDITORIAL,0,0,
TU Y OTROS DESASTRES NATURALES,MARIA MARTINEZ,FICCION GENERAL,PLANETA,0,0,
TWISTED GAMES,ANA HUANG,ROMANCE,PLANETA,0,0,
TWISTED HATE,ANA HUANG,ROMANCE,PLANETA,0,0,
TWISTED LIES,ANA HUANG,ROMANCE,PLANETA,0,0,
TWISTED LOVE,ANA HUANG,ROMANCE,PLANETA,0,0,
UGLY LOVE,COLLEEN HOOVER,ROMANCE,PLANETA,0,0,
UN MAR SIN ESTRELLAS,ERIN MORGENSTERN,FICCION GENERAL,PLANETA,0,0,
UN PASE AL CORAZON,MEGHAN QUINN,ROMANCE,CHIC EDITORIAL,0,0,
UN SEGUNDO PARA AMAR,MARIA MARTINEZ,ROMANCE,PLANETA,0,0,
UN VERANO EN EL CAMPAMENTO,JENNY COLGAN,ROMANCE,VERGARA (PRH),0,0,
UN VERANO EN NUEVA YORK,SARAH MORGAN,ROMANCE,HARLEQUIN,0,0,
UNA CANCION SALVAJE,VICTORIA SCHWAB,FICCION GENERAL,PLANETA,0,0,
UNA CATASTROFICA VISITA AL ZOO,INMA RUBIALES,ROMANCE,PLANETA,0,0,
UNA CITA EN EL INFIERNO,SARAH RIVENS,DARK ROMANCE,PLANETA,0,0,
UNA CORTE DE ROSAS Y ESPINAS,SARAH J. MAAS,ROMANTASY,PLANETA,0,1,
