Título,Autor(a)
Vil cazador del corazón (Vil dama de la fortuna #2),Chloe Gong
La niña halcón (Shadow Skye Series #1),Joseph Elliott
Medusa. La chica detrás del mito,Jessie Burton
Éramos Tres Niños Perdidos en la Niebla,Ruperto Long
La narradora (The Reader Trilogy #3),Traci Chee
La oradora (The Reader Trilogy #2),Traci Chee
La lectora (The Reader Trilogy #1),Traci Chee
Hombre muerto en una zanja (Serie Los archivos de Fetch Phillips #2),Luke Arnold
La república del dragón (La guerra de la Amapola #2),R.F. Kuang
El carnicero del bosque,Premee Mohamed
Los sellos oscuros (Dark Sigils #1),Anna Benning
El lobo y la serpiente (Dark Inheritance Trilogy #1),Rebecca Robinson
La dama de la oscuridad (Lady of Darkness #1),Melissa K. Roehrich
Un pacto de almas perdidas,Vanessa R. Migliore
Faebound (Faebound #1),Saara El-Arifi
La casa de los latidos (The Kingdom of Crows #2),Olivia Wildenstein
La era de los reyes (La Triada #1),Nira Strauss
Aurora (La Academia #2),Nerea Llanes
El príncipe de los dragones (Flame & Arrow #1),Sandra Grauer
La teoría de Kim (La teoría de Kim #2),Jay Sandoval
Asesinato en el Brightwell (Colección Cozy Mystery # 38),Ashley Weaver
Mis días en el Café Torunka,Satoshi Yagisawa
Los lobos de oro (The Gilded Wolves #1),Roshani Chokshi
Las serpientes de plata (The Gilded Wolves #2),Roshani Chokshi
Las bestias de bronce (The Gilded Wolves #3),Roshani Chokshi
El Cortejo de Bristol Keats (El Cortejo de Bristol Keats #1),Mary E. Pearson
Danza del mar en llamas (Mousai #2),E.J. Mellow
Las Doce Cruces de Bellevue,Pedro Godoy
Las Runas Eternas,Diego Tamayo Quezada
Niebla de Fuego,Krishna Villegas Andrade
Leyendas de Kalomaar: La Venganza de la Reina,Alberto Rojas M.
El Descenso del Guardián,Romina Merchak
Alma y cuatro elementos,Natalia P. Órdenes
Ápohnin: El Idioma del Relámpago,J. J. Torrico
Vil dama de la fortuna (Vil dama de la fortuna #1),Chloe Gong
La voluntad de muchos(La Jerarquía #1),James Islington
Anillos y estrellas (The Hidden Society #1),Jude Archer
El secreto de Gaudlin Hall,John Boyne
La casa de los aleteos (The Kingdom of Crows #1),Olivia Wildenstein
Cinco armas rotas (The Broken Blades #1),Mai Corland
Un último instante contigo,Naoko Higashi
El coleccionista de historias,Alyson Richman
Dos coronas retorcidas (The Shepherd King #2),Rachel Gillig
La casa de las grietas,Krystal Sutherland
Rey de corazones,Hanna Krall
Magia Sombría(Shadow Magic #1),Joshua Khan
Magia de ensueño (Shadow Magic #2),Joshua Khan
Magia Ígnea (Shadow Magic #3),Joshua Khan
La niña cuervo (Shadow Skye Series #2),Joseph Elliott
Mareas infinitas (Mareas #2),Ángela G. Sanjuán
Mareas de altura (Mareas #1),Ángela G. Sanjuán
El príncipe cruel (Los habitantes del aire #1),Holly Black
El rey malvado (Los habitantes del aire #2),Holly Black
La reina de la nada (Los habitantes del aire #3),Holly Black
La Busqueda Del Asesino (Trilogia Del Vatidico #3),Robin Hobb
Asesino Real (Trilogia Del Vatidico #2),Robin Hobb
Aprendiz De Asesino (Trilogia Del Vatidico #1),Robin Hobb
Inmortal,Sue Lynn Tan
Hijas de la niebla (Minotauro),Lydia Gregovic
La canción de la lluvia eterna (Mousai #1),E.J. Mellow
Las invocaciones,Krystal Sutherland
El último unicornio,Peter S. Beagle
Un Segundo Amor (La nación de las bestias #0),Mariana Palova
Luna de hueso (La nación de las bestias #3),Mariana Palova
Leyenda de fuego y plomo (La nación de las bestias #2),Mariana Palova
El señor del Sabbath (La nación de las bestias #1),Mariana Palova
Sanctas: Estudio de una mentira,Patricia Ibárcena
La liga de los mentirosos (The League of Liars #1),Astrid Scholte
Gearbreakers (Gearbreakers #1),Zoe Hana Mikuta
La maldición del faraón (Colección Cozy Mistery #31),Elizabeth Peters
Los cien amores de Julieta,Evelyn Skye
Harry Potter y la Piedra Filosofal (Edición Especial con Cantos Pintados) ,J.K Rowling
Atmosphere: Una historia de amor (Exclusiva),Taylor Jenkins Reid
Citas & desmembramientos,A.L. Brody
Lady Macbethad,Isabelle Schuler
Muñeca de huesos,Holly Black
Medianoche absoluta (Abarat #3),Clive Barker
"Días de magia, noches de guerra (Abarat #2)",Clive Barker
Abarat (Abarat #1),Clive Barker
Una Anciana Encantadora… y Letal (Colección Cozy Mistery #37),Helene Tursten
Bajo el metal,Irene Morales
Un velo escarlata (The Scarlet Veil #1),Shelby Mahurin
El aliento de los dioses,Brandon Sanderson
Violet y Finch,Jennifer Niven
El último dragón (Cuentos de Bereth #1),Javier Ruescas
Chicas de papel y de fuego (Girls of Paper and Fire #1),Natasha Ngan
La Casa de la Bestia,Michelle Wong
El libro de la noche (The Charlatan Duology Series #1),Holly Black
Corazón negro (Curse Workers #3),Holly Black
Guante rojo (Curse Workers #2),Holly Black
Gata Blanca (Curse Workers #1),Holly Black
El legado de la reina cuervo,Isa J. Gonzále
El Imperio Sangriento (The Bleeding Empire #1),Sung-Il Kim
El corazón de Naga (El Pájaro que bebe Lágrimas #1),Yeong-Do Lee
Un caballero en Moscú (Edición Limitada),Amor Towles
Hechizos de Medianoche,Rachel Griffin
Mister Magic,Kiersten White
